Location,ID,Status,Tree No,ChosenGroup,SimpleSymptoms,FungiSeen,CrownClass,GroupChange17
Site 1,1,Symptomatic,402,COD,Symptomatic,Gymnopus,x,x
Site 1,2,Non-symptomatic,751,Remission,Non-symptomatic,x,2,x
Site 1,3,Symptomatic,749,AOD,Symptomatic,x,3,Remission
Site 1,4,Non-symptomatic,754,Control,Non-symptomatic,x,4,x
Site 1,5,Symptomatic,748,COD,Symptomatic,x,2,x
Site 1,6,Non-symptomatic,747,Control,Non-symptomatic,x,3,x
Site 1,7,Non-symptomatic,746,Control,Non-symptomatic,x,3,x
Site 1,8,Symptomatic,744,AOD,Symptomatic,x,2,x
Site 1,9,Non-symptomatic,743,Remission,Non-symptomatic,x,sh,AOD
Site 1,10,Symptomatic,47,COD,Symptomatic,Gymnopus,3,x
Site 1,11,Symptomatic,728,AOD,Symptomatic,x,2,x
Site 1,12,Non-symptomatic,733,Remission,Non-symptomatic,x,3,x
Site 1,13,Non-symptomatic,736,Control,Non-symptomatic,x,4,x
Site 1,14,Non-symptomatic,716,Remission,Non-symptomatic,x,4,x
Site 1,15,Non-symptomatic,713,Remission,Non-symptomatic,x,3,x
Site 1,16,Symptomatic,707,AOD,Symptomatic,x,2,x
Site 1,17,Symptomatic,724,AOD,Symptomatic,x,3,x
Site 1,18,Symptomatic,723,COD,Symptomatic,Armillaria,2,AODplus
Site 1,19,Symptomatic,725,Extra,Symptomatic,Armillaria,2,AOD
Site 1,20,Symptomatic,727,COD,Symptomatic,x,2,x
Site 1,21,Non-symptomatic,726,Control,Non-symptomatic,x,5,x
Site 2,1,Symptomatic,1,COD,Symptomatic,x,x,x
Site 2,2,Non-symptomatic,CONTROL F,Control,Non-symptomatic,x,x,x
Site 2,3,Non-symptomatic,CONTROL G,Control,Non-symptomatic,x,x,x
Site 2,4,Symptomatic,3,COD,Symptomatic,x,x,x
Site 2,5,Symptomatic,5,COD,Symptomatic,x,x,x
Site 2,6,Symptomatic,6,COD,Symptomatic,x,x,x
Site 2,7,Non-symptomatic,CONTROL J,Control,Non-symptomatic,x,x,x
Site 2,8,Symptomatic,8,COD,Symptomatic,x,x,x
Site 2,9,Non-symptomatic,CONTROL H,Control,Non-symptomatic,x,x,x
Site 2,10,Non-symptomatic,CONTROL A,Control,Non-symptomatic,x,x,x
Site 2,11,Symptomatic,11,COD,Symptomatic,x,x,x
Site 2,12,Non-symptomatic,CONTROL B,Control,Non-symptomatic,x,x,x
Site 2,13,Symptomatic,13,COD,Symptomatic,x,x,x
Site 2,14,Non-symptomatic,CONTROL C,Control,Non-symptomatic,x,x,x
Site 2,15,Symptomatic,12,COD,Symptomatic,x,x,x
Site 2,16,Symptomatic,2,COD,Symptomatic,x,x,x
Site 2,17,Symptomatic,17,COD,Symptomatic,x,x,x
Site 2,18,Symptomatic,18,COD,Symptomatic,x,x,x
Site 2,19,Symptomatic,19,COD,Symptomatic,x,x,x
Site 2,20,Non-symptomatic,CONTROL K,Control,Non-symptomatic,x,x,x
Site 2,21,Non-symptomatic,CONTROL E,Control,Non-symptomatic,x,x,x
Site 2,22,Non-symptomatic,CONTROL D,Control,Non-symptomatic,x,x,x
Site 3,1,Non-symptomatic,1,Control,Non-symptomatic,x,x,x
Site 3,2,Symptomatic,1,COD,Symptomatic,x,x,x
Site 3,3,Non-symptomatic,2,Control,Non-symptomatic,x,x,x
